Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,118.019997,118.019997,113.500000,113.500000,102.430855,400
2010-11-01,113.500000,113.500000,113.500000,113.500000,102.430855,0
2010-12-01,113.500000,113.500000,113.500000,113.500000,102.430855,0
2011-01-01,113.500000,113.500000,113.500000,113.500000,102.430855,0
2011-02-01,113.500000,113.500000,113.500000,113.500000,102.430855,0
2011-03-01,113.500000,118.000000,113.000000,118.000000,106.491982,1100
2011-04-01,118.000000,118.000000,114.000000,114.000000,102.882088,200
2011-05-01,114.000000,120.500000,114.000000,120.500000,108.748177,200
2011-06-01,120.500000,120.500000,120.500000,120.500000,108.748177,0
2011-07-01,120.500000,120.500000,120.500000,120.500000,108.748177,0
2011-08-01,120.500000,124.519997,120.500000,124.519997,112.376099,1000
2011-09-01,124.519997,124.519997,124.519997,124.519997,112.376099,0
2011-10-01,124.519997,124.519997,124.519997,124.519997,112.376099,0
2011-11-01,124.519997,124.519997,109.160004,109.160004,98.514114,700
2011-12-01,109.160004,109.160004,109.160004,109.160004,98.514114,0
2012-01-01,109.160004,109.160004,109.160004,109.160004,98.514114,0
2012-02-01,109.160004,109.160004,109.160004,109.160004,98.514114,0
2012-03-01,109.160004,109.160004,109.160004,109.160004,98.514114,0
2012-04-01,109.160004,109.160004,109.160004,109.160004,98.514114,0
2012-05-01,109.160004,115.000000,109.160004,115.000000,103.784569,2100
2012-06-01,115.000000,115.000000,115.000000,115.000000,103.784569,0
2012-07-01,115.000000,115.000000,111.000000,111.000000,100.174660,1000
2012-08-01,111.000000,111.000000,111.000000,111.000000,100.174660,0
2012-09-01,111.000000,111.000000,111.000000,111.000000,100.174660,0
2012-10-01,111.000000,111.000000,111.000000,111.000000,100.174660,0
2012-11-01,111.000000,115.000000,111.000000,115.000000,103.784569,2300
2012-12-01,115.000000,115.000000,115.000000,115.000000,103.784569,0
2013-01-01,115.000000,115.000000,115.000000,115.000000,103.784569,0
2013-02-01,115.000000,115.000000,115.000000,115.000000,103.784569,0
2013-03-01,115.000000,145.000000,115.000000,145.000000,130.858765,200
2013-04-01,145.000000,145.000000,130.000000,130.000000,117.321678,200
2013-05-01,130.000000,130.000000,130.000000,130.000000,117.321678,0
2013-06-01,130.000000,130.000000,130.000000,130.000000,117.321678,0
2013-07-01,130.000000,130.000000,130.000000,130.000000,117.321678,0
2013-08-01,130.000000,139.500000,130.000000,137.500000,124.090225,900
2013-09-01,137.500000,137.500000,137.500000,137.500000,124.090225,0
2013-10-01,137.500000,137.500000,137.500000,137.500000,124.090225,0
2013-11-01,137.500000,154.460007,137.500000,154.460007,139.396194,0
2013-12-01,154.460007,154.460007,154.460007,154.460007,139.396194,0
2014-01-01,154.460007,154.460007,154.460007,154.460007,139.396194,0
2014-02-01,154.460007,154.460007,148.750000,148.750000,134.243073,100
